asin,category,brand,global_min,global_max,global_norm_sd,log_mean_price
B07NWB8H5S,172282,Roku,33.52,35.01,0.020648488073845214,3.5558241386228997
B088KRPCQJ,172282,Bose,163.45,279.0,0.14332985663313327,5.5165364180260115
B09GJZKQ3K,172282,JBL,79.95,129.99,0.1379162346221649,4.750962909712065
B0BGM5XPQZ,172282,Canon,69.0,129.99,0.0726902228375514,4.593081735068298
B0CDC6H66Y,172282,Garmin,348.95,449.99,0.0926509314344789,6.012758416477576
B0DWMJJQVC,172282,TCL,999.98,2079.98,0.16441188295551987,7.123026496054811
B07G95FFN3,172282,Kasa Smart,39.97,98.89,0.20048865479957226,4.233684808317751
B0BQPZ7DMV,172282,JBL,24.95,54.95,0.17509804437378662,3.847649987835487
B0D2PNH494,172282,Hisense,174.0,999.99,0.1494939566847049,6.680324647715377
B0DPGK6XQ6,172282,GE,14.08,17.32,0.05410167256486101,2.8458197483374095
B0DQ74C7CX,172282,Amazon Basics,9.95,13.48,0.09431589263257323,2.528524731610257
B086WTSMQH,172282,1byone,161.56,219.99,0.11292913066417311,5.277521371024972
B0BYNVS3RP,172282,ViewSonic,119.99,165.99,0.05737384342902418,5.039684445904049
B0CV5T2YG6,172282,Fitbit,99.95,229.99,0.17795302194836776,5.1397429270179575
B0CY6S748H,172282,Sonos,134.0,179.0,0.10296036942632847,5.114882308685873
B0G16CYYMV,172282,COMPLY,25.26,29.99,0.03343970413376076,3.3338831296593803
B002HZHUCW,172282,Sanus,42.99,104.0,0.23031379734017712,4.174314539978154
B0093162RM,172282,Philips,75.0,199.99,0.14177650896811397,4.8353684517937126
B071S84ZW7,172282,ASUS,149.0,259.0,0.09272419372803277,5.399581565182434
B0D636SL59,172282,Life360,29.99,44.99,0.11357571095927271,3.743645160968927
B0DW97VBWL,172282,JBL,49.95,109.95,0.2601402467703527,4.227607237211627
B0FJWQP6LX,172282,Google,339.99,399.99,0.06921095731054051,5.92237414339239
B07YP9FBMM,172282,NVIDIA,149.99,283.31,0.03900013988070558,5.2921996258547805
B083M8DP6X,172282,Apple,382.67,393.04,0.013368397983782605,5.963206523486983
B0BSVQ37CB,172282,Garmin,99.0,149.99,0.14761091113678215,4.836742575065379
B0DYD56G2Y,172282,DJI,329.0,450.45,0.08637053116390508,5.894546861672807
B0FCFJ7W9H,172282,Samsung,2103.97,2793.97,0.06980125324804305,7.820991119916698
B0FCTHXNC5,172282,COMPLY,21.89,29.99,0.05875867999558129,3.352118416103694
B0FPZPF71Z,172282,Canon,379.0,479.0,0.10420343194656218,6.082788112376044
B0B4VXHBNP,172282,COSMUSIS,42.15,79.99,0.3098084165711479,4.128262780425561
B0B5MC3G1Y,172282,Belkin,35.62,56.81,0.046583699196393345,3.6645023919307107
B0CL9RXRVX,172282,ViewSonic,109.99,279.99,0.0724641959288621,5.518812039545367
B0CWVXTK6Z,172282,Sony,128.0,249.99,0.16204998696577472,5.1977989659484845
B0FTT4GXK4,172282,TCL,389.99,599.99,0.16645859272496016,6.184940151094104
B0GLRBGV3J,172282,Panasonic,24.99,28.4,0.031132075359226984,3.291923494840444
B07889DGLD,172282,DIRECTV,5.77,19.47,0.2871754322829126,2.169661418407066
B0797LMJF5,172282,Command,6.06,31.52,0.24170789654098898,2.6058219911604676
B08B6FMPTP,172282,Plugable,99.95,99.95,0.0,4.614625344758847
B0CG7GHYXJ,172282,Polaroid,79.99,119.99,0.05707602182138665,4.608196221812517
B0D8LH2VSP,172282,Acer,149.99,219.99,0.1017470741292496,5.189878362414069
B0DCLRRHSP,172282,GoPro,169.99,219.99,0.06819187508405627,5.302293875973668
B0DZ743XN6,172282,Apple,649.99,849.0,0.056352412344400894,6.670663212470051
B0FTT4VH34,172282,Samsung,179.99,249.99,0.09426863769023248,5.411618578950191
B002NU5O9C,172282,Targus,16.25,46.59,0.16036172286802441,3.508960844504384
B0787WGCXT,172282,ViewSonic,135.99,332.0,0.14915940483710222,5.316020627585765
B09PSKG7C3,172282,Garmin,231.0,399.99,0.09845957620140423,5.886914626252825
B0G31P119K,172282,JBL,129.95,129.95,0.0,4.874815570953721
B0CTBF4MKS,172282,Roku,59.0,129.0,0.09094483306545859,4.48528393437569
B0DY8BRMM5,172282,KODAK,99.0,122.01,0.04089406113924841,4.697996344748686
B06XKPQ6YZ,172282,LeeKooLuu,37.99,60.18,0.06375307703359752,3.949859625071099
B07PXGQC1Q,172282,Apple,69.0,199.99,0.2188435367549846,4.750848890586691
B00VBUGPW0,172282,Skar Audio,27.99,40.95,0.09127649776726693,3.5050527651766767
B01FHNBKYO,172282,JACKYLED,31.28,63.49,0.21318527746027255,3.6372059705045574
B07BB8LSM1,172282,GE,9.34,43.7,0.19857105429195024,2.9940280730880504
B07C2Z21X5,172282,Canon,329.99,579.0,0.08157786496474374,6.0947151120296015
B07HKQ6YGX,172282,JBL,89.0,179.95,0.13839412119676467,4.780605516496384
B0DM6S4FMH,172282,ASUS,99.0,214.0,0.14434000343833256,4.95641267354675
B008GRTSV6,172282,Arduino,9.99,29.95,0.17458549494924547,3.1148498220785417
B01CG8N0H8,172282,BOSS Audio Systems,28.99,54.46,0.18071432902527018,3.70535492540172
B083JKSSR5,172282,Kasa Smart,18.99,39.99,0.19084953234475507,3.4203760751444916
B0CNCHLR56,172282,Soundcore,29.99,50.92,0.12113928785326038,3.7783788651351027
B0FLL354M2,172282,LG,94.9,149.99,0.1468308727735403,4.76464630332479
B000J1FABY,172282,BOSS Audio Systems,11.0,56.99,0.24008909652834934,3.003674984296101
B0BWPK91TB,172282,Apple,130.82,212.4,0.09776330349381647,5.168132532446869
B0DC17VXTL,172282,Power Watchdog,303.46,433.56,0.08042566566956794,5.914539405327464
B0DJWQ1FV1,172282,CEACO,12.24,27.99,0.14125818150958308,3.2684010455062364
